"","species","firstyear","lastyear","sci_name","sort","Breeding.Biome","Winter.Biome","Family","bird.group","Migrate","AI","native","popest","popestlci","popestuci","year_est1","year_est2","Pop.source","Tr_source","popse","spfactor","spfact","g1","g2","famfact","famfactn","birdgroupfact","birdgroupfactn","migratefact","migratefactn","aifact","aifactn","nativefact","nativefactn","Loss_mean","Loss_sd","Loss_lci95","Loss_med","Loss_uci95","Loss_lci","Loss_lqrt","Loss_uqrt","Loss_uci","Psi_mean","Psi_sd","Psi_lci95","Psi_med","Psi_uci95","Psi_lci","Psi_lqrt","Psi_uqrt","Psi_uci","NEst_mean","NEst_sd","NEst_lci95","NEst_med","NEst_uci95","NEst_lci","NEst_lqrt","NEst_uqrt","NEst_uci"
"266","King Eider",1970,2017,"Somateria spectabilis",63,"Arctic Tundra","Marine","Anatidae","waterfowl","M","other","native",560000,280000,840000,2004,2006,"SeDu07","CBC7017",142857.142857143,"King Eider",266,4,1,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,3228172.25648147,1380569.68622709,1209468.15658809,3000029.81809905,6508314.01145603,1209468.15658809,2273099.42449419,3958914.20453241,6508314.01145603,3475777.12631711,1448762.82548967,1339082.5613465,3242117.91961029,6949401.85527641,1339082.5613465,2457610.47774314,4235177.52302895,6949401.85527641,558818.239528542,144765.261848545,276044.066408721,559653.313238508,843044.237290478,276044.066408721,461728.382154805,656794.244760973,843044.237290478
"267","King Rail",1970,2017,"Rallus elegans",412,"Wetland","Temperate North America","Rallidae","waterbird","M","other","native",63219,26563,122039,2006,2015,"PIF0615","BBS7017",24356.1224489796,"King Rail",267,8,11,"Rallidae",51,"waterbird",4,"M",2,"other",2,"native",2,328664.223239644,127963.954285237,84376.6065231461,325548.179229891,587150.742475574,84376.6065231461,242676.484868429,413602.345622259,587150.742475574,378621.661165254,146393.84463893,97706.1206652301,375882.290972693,672536.195872443,97706.1206652301,280139.87566831,475505.19939674,672536.195872443,63328.1734358066,24228.627683646,16446.8045769626,63134.2282484223,111339.084243891,16446.8045769626,46787.3974366869,79379.1220880889,111339.084243891
"268","Ladder-backed Woodpecker",1970,2017,"Dryobates scalaris",963,"Aridlands","Southwestern Aridlands","Picidae","landbird","R","other","native",2377162,1983369,2827402,2006,2015,"PIF0615","BBS7017",215314.540816327,"Ladder-backed Woodpecker",268,7,2,"Picidae",45,"landbird",1,"R",3,"other",2,"native",2,-303603.753070582,137132.586389188,-590511.188915401,-297739.387801229,-48193.4535906861,-590511.188915401,-391779.849674693,-208585.368350202,-48193.4535906861,2156819.10962766,197103.393234049,1768353.8441195,2156515.61566072,2539822.48768664,1768353.8441195,2022196.75102698,2288774.37979349,2539822.48768664,2381287.63698216,215298.956620172,1954375.95636715,2382719.1711934,2800266.62414848,1954375.95636715,2235654.40598269,2527502.17263954,2800266.62414848
"269","Lapland Longspur",1993,2017,"Calcarius lapponicus",1773,"Arctic Tundra","Temperate North America","Calcariidae","landbird","M","other","native",68032536,60265772,80590222,2006,2015,"PIF0615","BBS9317",5184808.67346939,"Lapland Longspur",269,8,1,"Calcariidae",12,"landbird",1,"M",2,"other",2,"native",2,4142400.49092582,28307658.0910785,-64127867.3585163,8975675.05910254,45877963.4773888,-64127867.3585163,-10329753.6843856,23481507.0761265,45877963.4773888,77777441.6876264,10083662.8549878,59506269.914094,77259656.1492203,99189589.1011598,59506269.914094,70768971.4742453,84190217.0088854,99189589.1011598,68097334.4516402,5159487.01550774,57726108.2527597,68126080.4041812,78000278.7667053,57726108.2527597,64647823.5163443,71653695.6505632,78000278.7667053
"270","Lark Bunting",1970,2017,"Calamospiza melanocorys",1841,"Grassland","Southwestern Aridlands","Passerellidae","landbird","M","other","native",11992598,9194389,15233830,2006,2015,"PIF0615","BBS7017",1540673.7244898,"Lark Bunting",270,7,7,"Passerellidae",39,"landbird",1,"M",2,"other",2,"native",2,31818403.0522245,4928721.87002544,22468531.5903533,31683266.2478246,41897912.2342374,22468531.5903533,28481076.4975406,35015740.4411429,41897912.2342374,42863739.714173,5887171.58711294,31388163.9171676,42777548.9585319,54408220.650371,31388163.9171676,38966028.0743979,46754599.1897928,54408220.650371,11986603.1268942,1551111.16630881,8905470.96052809,11992667.109137,15001546.6513852,8905470.96052809,10948766.893799,13036529.6762384,15001546.6513852
"271","Lark Sparrow",1970,2017,"Chondestes grammacus",1836,"Grassland","Mexico-Central America","Passerellidae","landbird","M","other","native",10638361,9078588,12343951,2006,2015,"PIF0615","BBS7017",833000.765306122,"Lark Sparrow",271,5,7,"Passerellidae",39,"landbird",1,"M",2,"other",2,"native",2,4384104.25336632,709874.626445004,3011731.93055114,4363927.89848632,5807100.81039156,3011731.93055114,3902114.45273366,4861187.48773556,5807100.81039156,15028295.9090028,1191070.76313031,12700451.5910209,15026661.4697617,17382261.5402869,12700451.5910209,14223463.2853468,15836162.8870224,17382261.5402869,10630650.6955663,831990.528992529,9001068.09191056,10629994.203417,12263548.9213082,9001068.09191056,10070093.2219069,11186616.382356,12263548.9213082
"272","Laughing Gull",1970,2017,"Leucophaeus atricilla",576,"Coasts","Coastal","Laridae","waterbird","M","other","native",684463,425116,997966,2006,2015,"PIF0615","BBS7017",146135.204081633,"Laughing Gull",272,2,4,"Laridae",32,"waterbird",4,"M",2,"other",2,"native",2,-446553.149859177,223864.688201804,-993112.434267429,-413247.831427442,-115269.943036177,-993112.434267429,-565901.350958832,-285805.083222207,-115269.943036177,358728.920847675,80110.3563837879,206549.176086701,357578.822849026,520010.447770145,206549.176086701,304188.242871152,411740.415949551,520010.447770145,683704.226310545,145956.84349935,401767.288532617,683176.744389441,971821.292256108,401767.288532617,584109.107259741,782321.89975144,971821.292256108
"273","Lawrence's Goldfinch",1970,2017,"Spinus lawrencei",1770,"Aridlands","Southwestern Aridlands","Fringillidae","landbird","M","other","native",347128,188186,574120,2006,2015,"PIF0615","BBS7017",98452.5510204082,"Lawrence's Goldfinch",273,7,2,"Fringillidae",24,"landbird",1,"M",2,"other",2,"native",2,109760.899257008,73267.8326263172,-29888.6801846512,107242.362045313,260780.531730655,-29888.6801846512,62262.4994043747,154246.07080077,260780.531730655,456170.219650348,130222.90561012,205856.876799366,453641.744939438,717281.752634986,205856.876799366,365649.851940907,543159.08416549,717281.752634986,347508.678700791,97588.961431175,158018.024477561,346783.06588279,539840.118726371,158018.024477561,280487.223454677,413263.98803677,539840.118726371
"274","Lazuli Bunting",1970,2017,"Passerina amoena",2059,"Western Forest","Mexico-Central America","Cardinalidae","landbird","M","other","native",6453834,5417754,7643998,2006,2015,"PIF0615","BBS7017",567919.387755102,"Lazuli Bunting",274,5,10,"Cardinalidae",14,"landbird",1,"M",2,"other",2,"native",2,-1197969.16595717,455826.11966755,-2176051.96391992,-1179829.23448268,-375616.588069357,-2176051.96391992,-1481992.6867862,-878182.505410914,-375616.588069357,5654067.28665606,509196.499739304,4677069.63713745,5646581.97149592,6666787.74041053,4677069.63713745,5299061.76673641,6000322.49394759,6666787.74041053,6447473.47154507,571582.201669528,5352553.44275712,6444547.15213701,7579445.11172346,5352553.44275712,6053273.38826005,6833035.9878073,7579445.11172346
"275","Least Bittern",1970,2017,"Ixobrychus exilis",729,"Wetland","Widespread","Ardeidae","waterbird","M","other","native",131773,66196,217720,2006,2015,"PIF0615","BBS7017",38654.0816326531,"Least Bittern",275,9,11,"Ardeidae",10,"waterbird",4,"M",2,"other",2,"native",2,-35659.0093445707,21985.8059173404,-86084.9830244488,-32432.0627299568,-1705.58559602553,-86084.9830244488,-48304.3744213776,-19754.4972264191,-1705.58559602553,104606.299111241,30895.3163796222,43460.3638244112,104949.528354753,164287.738149662,43460.3638244112,83483.7892354796,125193.132658075,164287.738149662,131684.783563535,38567.3332637566,55106.3081727677,132085.224138653,206334.918158323,55106.3081727677,105415.748145072,157894.40043568,206334.918158323
"276","Least Flycatcher",1970,2017,"Empidonax minimus",1307,"Eastern Forest","Mexico-Central America","Tyrannidae","landbird","M","other","native",27244220,24465739,30286260,2006,2015,"PIF0615","BBS7017",1484826.78571429,"Least Flycatcher",276,5,5,"Tyrannidae",65,"landbird",1,"M",2,"other",2,"native",2,31553202.3309214,2239335.58370813,27305893.5419478,31498318.6659039,36117274.1761315,27305893.5419478,30044581.5225657,33010982.9190638,36117274.1761315,55847024.8990726,3098521.18368892,49912222.7713255,55817687.6137488,61930361.8142219,49912222.7713255,53777150.7527262,57941201.9161124,61930361.8142219,27222155.4796095,1482254.07521849,24352029.4109798,27217678.244576,30155021.4421548,24352029.4109798,26228025.3455122,28211480.6366368,30155021.4421548
"277","Least Sandpiper",1974,2016,"Calidris minutilla",502,"Wetland","Widespread","Scolopacidae","shorebird","M","other","native",700000,466667,1050000,2011,2013,"Shoreb12","Mig7416",148809.43877551,"Least Sandpiper",277,9,11,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,44417.9328796925,186442.281008826,-372682.333470808,59269.2326906406,369382.182294556,-372682.333470808,-56217.8559932003,165806.190291976,369382.182294556,784552.230667926,190480.446832513,438594.395845702,775590.33559809,1185851.14228245,438594.395845702,653466.147406637,906585.191183957,1185851.14228245,702254.914544072,148630.86938673,411824.236226241,701759.957685073,993964.433608371,411824.236226241,603246.826331368,802770.189735625,993964.433608371
"278","Least Tern",1970,2017,"Sternula antillarum",604,"Coasts","Coastal","Laridae","waterbird","M","other","native",51692,21444,97858,2006,2015,"PIF0615","BBS7017",19493.3673469388,"Least Tern",278,2,4,"Laridae",32,"waterbird",4,"M",2,"other",2,"native",2,152303.928187899,61523.2001743405,37596.2715513097,149388.153872346,279423.883276477,37596.2715513097,110679.036753446,192784.401347801,279423.883276477,201185.585361391,77750.9375909284,50127.6979795184,199485.570166191,357526.514197738,50127.6979795184,148985.692742785,253489.804258568,357526.514197738,51451.3562890261,19466.2558626134,12796.0886208134,51273.7875416612,89852.1953228481,12796.0886208134,38450.5197156895,64664.5116279718,89852.1953228481
"279","LeConte's Sparrow",1970,2017,"Ammospiza leconteii",1846,"Grassland","Temperate North America","Passerellidae","landbird","M","other","native",5128134,4121245,6262076,2006,2015,"PIF0615","BBS7017",546130.357142857,"LeConte's Sparrow",279,8,7,"Passerellidae",39,"landbird",1,"M",2,"other",2,"native",2,8094691.37202218,1073355.52779723,6090131.5845492,8054086.15446066,10301214.2860068,6090131.5845492,7350040.1781772,8799154.04312538,10301214.2860068,12589047.2425132,1424971.11089917,9877376.74679046,12558060.234387,15443500.2402174,9877376.74679046,11606650.3122373,13552224.5084795,15443500.2402174,5130818.76069029,551153.733018714,4075288.12001548,5131677.95781143,6205836.66063456,4075288.12001548,4746267.05876149,5502342.49173466,6205836.66063456
"280","LeConte's Thrasher",1970,2017,"Toxostoma lecontei",1628,"Aridlands","Southwestern Aridlands","Mimidae","landbird","R","other","native",45644,15853,93422,2006,2015,"PIF0615","BBS7017",19788.0102040816,"LeConte's Thrasher",280,7,2,"Mimidae",33,"landbird",1,"R",3,"other",2,"native",2,59465.9468383534,27155.252523584,8753.31477977106,58286.9370231011,115789.211240755,8753.31477977106,40543.4976939057,76981.0674246733,115789.211240755,102316.299928551,43798.0214950589,15359.7203190088,101715.228509296,190435.206225407,15359.7203190088,72536.6073268453,131599.803848401,190435.206225407,45924.7080965361,19540.1458846568,6819.05726973261,45580.1863096419,84594.1999229501,6819.05726973261,32521.0962894259,59152.9188757894,84594.1999229501
"281","Lesser Goldfinch",1970,2017,"Spinus psaltria",1769,"Western Forest","Temperate North America","Fringillidae","landbird","M","other","native",5723877,4542330,7132984,2006,2015,"PIF0615","BBS7017",660881.12244898,"Lesser Goldfinch",281,8,10,"Fringillidae",24,"landbird",1,"M",2,"other",2,"native",2,-2207327.76427947,562526.964033498,-3411003.33634322,-2171974.12257552,-1227511.05167582,-3411003.33634322,-2561670.89866117,-1807222.63120295,-1227511.05167582,3974769.3592149,462797.191064729,3076027.86446853,3975491.81216793,4874616.57633565,3076027.86446853,3658368.57853718,4283409.47640012,4874616.57633565,5728206.88279823,656290.715997212,4453517.08847436,5731212.09492505,6991270.77550402,4453517.08847436,5277799.80596071,6168482.33271219,6991270.77550402
"282","Lesser Nighthawk",1970,2017,"Chordeiles acutipennis",226,"Aridlands","Widespread Neotropical","Caprimulgidae","landbird","M","AI","native",3801395,2399615,5545863,2006,2015,"PIF0615","BBS7017",802614.285714286,"Lesser Nighthawk",282,10,2,"Caprimulgidae",13,"landbird",1,"M",2,"AI",1,"native",2,-178000.365789617,464086.170492632,-1172791.02818883,-146934.927304395,675266.494266679,-1172791.02818883,-455293.913724077,132367.551570802,675266.494266679,3712303.34224862,778748.069583971,2218963.88659077,3708115.8036897,5258532.83507332,2218963.88659077,3186040.54898924,4216368.52625284,5258532.83507332,3810132.11281078,789787.107977449,2279188.92150349,3800778.36232691,5377232.02542033,2279188.92150349,3276040.25998142,4341369.0103091,5377232.02542033
"283","Lesser Scaup",1970,2017,"Aythya affinis",60,"Wetland","Widespread","Anatidae","waterfowl","M","other","native",2626619,1903177,3511659,2006,2015,"PIF0615","BBS7017",410327.040816327,"Lesser Scaup",283,9,11,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,1254066.32864567,561140.327714461,93590.0709103966,1262110.95238005,2338532.1056545,93590.0709103966,900393.402595436,1623837.56878839,2338532.1056545,4215396.5209842,687652.11584035,2873822.36188969,4198983.59219954,5597322.59196317,2873822.36188969,3757753.63094306,4666792.94882197,5597322.59196317,2634503.8284406,411671.303999544,1828808.72591955,2631393.47880989,3440401.0051529,1828808.72591955,2356105.28468687,2905541.01094985,3440401.0051529
"284","Lesser Yellowlegs",1974,2016,"Tringa flavipes",524,"Wetland","Widespread","Scolopacidae","shorebird","M","other","native",660000,264000,1650000,2011,2013,"Shoreb12","Mig7416",353571.428571429,"Lesser Yellowlegs",284,9,11,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,1098075.27241111,607535.664094701,1.91809340261197,1058163.17829865,2384199.15921219,1.91809340261197,662416.080931197,1489660.77013917,2384199.15921219,1718780.45779464,919572.847547689,2.85366096786026,1680195.70692118,3646238.71525177,2.85366096786026,1060178.10076477,2332114.39994708,3646238.71525177,659627.908969801,342722.405506589,1,652585.9074357,1342851.8322452,1,413865.493880232,898233.523687398,1342851.8322452
"285","Lewis's Woodpecker",1970,2017,"Melanerpes lewis",935,"Western Forest","Temperate North America","Picidae","landbird","M","other","native",81507,52913,119611,2006,2015,"PIF0615","BBS7017",17014.7959183673,"Lewis's Woodpecker",285,8,10,"Picidae",45,"landbird",1,"M",2,"other",2,"native",2,107664.614592627,25708.7150026266,59878.6973676212,106516.009692234,160917.387154415,59878.6973676212,89745.6436570794,124391.339886528,160917.387154415,184213.63344783,38931.3689784026,108620.620376266,184138.763986415,260646.78930146,108620.620376266,157540.410631294,210279.034810679,260646.78930146,81538.6064056684,16943.3774868212,48405.9617015536,81643.3542348958,115030.591859464,48405.9617015536,70147.9567962839,92970.6900629897,115030.591859464
"286","Limpkin",1970,2017,"Aramus guarauna",437,"Wetland","Widespread Neotropical","Aramidae","waterbird","R","other","native",9000,6000,12000,1993,1995,"BNA2002","CBC7017",1530.61224489796,"Limpkin",286,10,11,"Aramidae",9,"waterbird",4,"R",3,"other",2,"native",2,1443.94293601303,9472.71604081158,-20948.6583655408,2806.29145534088,16139.6296596115,-20948.6583655408,-2999.60223957734,7529.39023950236,16139.6296596115,22966.6808783191,6595.16952977901,12406.8613728153,22169.9145073544,38119.6834812425,12406.8613728153,18302.7452644725,26733.9220562768,38119.6834812425,8987.49629373745,1528.74815140166,5945.78485922308,8993.72218942002,11948.1912217074,5945.78485922308,7957.66528414941,10030.6009816681,11948.1912217074
"287","Lincoln's Sparrow",1970,2017,"Melospiza lincolnii",1853,"Boreal Forest","Temperate North America","Passerellidae","landbird","M","other","native",88078735,78262006,98782691,2006,2015,"PIF0615","BBS7017",5234868.62244898,"Lincoln's Sparrow",287,8,3,"Passerellidae",39,"landbird",1,"M",2,"other",2,"native",2,2329482.59122424,8543136.27709361,-15317033.9782247,2665983.93116847,17901813.9800529,-15317033.9782247,-3292484.7779449,8298980.28190643,17901813.9800529,89865550.9647405,5831180.01199265,78664403.4108383,89817402.2948225,101418686.875972,78664403.4108383,85865520.7825684,93799327.9444831,101418686.875972,88048798.4875527,5170522.64566062,77862980.8587765,88093418.8956281,98162489.4309048,77862980.8587765,84564277.6849969,91533975.8688063,98162489.4309048
"288","Little Blue Heron",1970,2017,"Egretta caerulea",745,"Wetland","Widespread","Ardeidae","waterbird","M","other","native",270582,191382,368199,2006,2015,"PIF0615","BBS7017",45106.3775510204,"Little Blue Heron",288,9,11,"Ardeidae",10,"waterbird",4,"M",2,"other",2,"native",2,223734.965613671,43651.3096171177,142501.273617579,221948.552639161,313264.10364377,142501.273617579,193693.456532502,252096.613738056,313264.10364377,475555.846559648,80409.1082496838,320175.996027284,474993.989604472,634347.569836258,320175.996027284,421464.113811302,529193.145904972,634347.569836258,270117.90225716,45258.3054324656,181968.978727299,270195.053395703,358763.804318634,181968.978727299,239777.559756246,300475.972938951,358763.804318634
"289","Loggerhead Shrike",1970,2017,"Lanius ludovicianus",1325,"Grassland","Temperate North America","Laniidae","landbird","M","other","native",4557457,4080246,5094115,2006,2015,"PIF0615","BBS7017",258640.051020408,"Loggerhead Shrike",289,8,7,"Laniidae",31,"landbird",1,"M",2,"other",2,"native",2,10186098.2747527,661608.443473619,8891018.78048846,10185272.796612,11501138.1188277,8891018.78048846,9737228.75751678,10628812.769831,11501138.1188277,14440691.1849323,832015.963571543,12798587.2995098,14443771.8377705,16068997.5855914,12798587.2995098,13882826.6363904,15003545.5738403,16068997.5855914,4559909.12568235,257574.472222993,4052285.59447956,4562145.92829394,5063651.39366156,4052285.59447956,4388105.75677703,4733805.34692086,5063651.39366156
"290","Long-billed Curlew",1970,2017,"Numenius americanus",474,"Grassland","Widespread","Scolopacidae","shorebird","M","other","native",140000,98000,198000,2011,2013,"Shoreb12","BBS7017",25510.2040816327,"Long-billed Curlew",290,9,7,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,-3846.68180768543,12806.6265812849,-31181.3193873664,-3190.50797609147,19975.0856588505,-31181.3193873664,-11742.3501012702,4572.39296412631,19975.0856588505,141013.294012397,26233.9669182021,91120.7736643024,140778.926375266,194074.453433615,91120.7736643024,122881.418867451,158298.99955285,194074.453433615,139972.569542018,25383.9948674702,91172.3575916541,139655.516303347,190581.06123878,91172.3575916541,122436.510113505,156977.623485693,190581.06123878
"291","Long-billed Dowitcher",1974,2016,"Limnodromus scolopaceus",509,"Arctic Tundra","Widespread","Scolopacidae","shorebird","M","other","native",500000,333333,750000,2011,2013,"Shoreb12","Mig7416",106292.602040816,"Long-billed Dowitcher",291,9,1,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,-107645.932147153,285588.130960025,-826240.344093855,-35103.427542112,206291.357915269,-826240.344093855,-184536.200936065,55010.1781793051,206291.357915269,270055.275708993,111539.187941837,109138.881505162,251732.728434183,539973.346626968,109138.881505162,191325.748588544,329179.213099359,539973.346626968,499051.432520201,105720.2031856,293693.561352357,498212.830435929,705596.256315663,293693.561352357,426437.797519826,572561.673869718,705596.256315663
"292","Long-billed Thrasher",1970,2017,"Toxostoma longirostre",1623,"Aridlands","Mexico-Central America","Mimidae","landbird","R","other","native",95573,53639,153900,2006,2015,"PIF0615","BBS7017",25576.7857142857,"Long-billed Thrasher",292,5,2,"Mimidae",33,"landbird",1,"R",3,"other",2,"native",2,-128488.163464503,40113.8468593576,-216177.215719587,-125560.007847345,-57092.1977482986,-216177.215719587,-153288.571654235,-100661.877581483,-57092.1977482986,10774.0741491768,2927.6362012153,5095.13021575076,10762.7194821669,16659.76286322,5095.13021575076,8762.57127225456,12724.6871131442,16659.76286322,95069.5226333381,25646.9986336087,44783.3454844718,95088.6628232629,146396.26148209,44783.3454844718,77664.4812798604,112033.862076567,146396.26148209
"293","Long-eared Owl",1970,2017,"Asio otus",863,"Forest Generalist","Temperate North America","Strigidae","landbird","M","other","native",37707,15671,68758,2006,2015,"PIF0615","CBC7017",13542.6020408163,"Long-eared Owl",293,8,6,"Strigidae",57,"landbird",1,"M",2,"other",2,"native",2,55107.4556843948,21172.1317485487,15864.3458337264,54467.1589317899,98665.1381824898,15864.3458337264,40582.6420988903,69052.0323580308,98665.1381824898,89844.0615927581,32900.8258676376,26983.7832520583,89748.7487367513,155505.028497316,26983.7832520583,67649.8408047741,111767.781406484,155505.028497316,37657.4041028378,13626.24143073,11284.5777006364,37718.6098051768,64504.0177410426,11284.5777006364,28487.1870229172,46775.0406827121,64504.0177410426
"294","Long-tailed Duck",1970,2017,"Clangula hyemalis",71,"Arctic Tundra","Marine","Anatidae","waterfowl","M","other","native",1000000,500000,1500000,2004,2006,"SeDu07","CBC7017",255102.040816327,"Long-tailed Duck",294,4,1,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,2013262.76883842,1031745.75236115,389408.692481302,1872026.44422232,4420356.87343229,389408.692481302,1315908.21364197,2551613.6639464,4420356.87343229,2898596.50448076,1175333.25355519,1151950.93983288,2726999.47498302,5669766.96181346,1151950.93983288,2078701.35829064,3517566.99392726,5669766.96181346,1001841.91723491,258427.62439329,489899.285678806,1002854.48295308,1500553.27597076,489899.285678806,825906.622243783,1178917.08182344,1500553.27597076
"295","Louisiana Waterthrush",1970,2017,"Parkesia motacilla",1949,"Eastern Forest","Widespread Neotropical","Parulidae","landbird","M","other","native",446545,377921,529134,2006,2015,"PIF0615","BBS7017",38574.7448979592,"Louisiana Waterthrush",295,10,5,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,-150157.138598265,27841.9939413202,-208573.803449399,-148634.81228109,-99624.4621643786,-208573.803449399,-168146.109853203,-130688.095223278,-99624.4621643786,334103.4590325,29081.3342808751,277950.215553475,333965.528195441,391211.690912089,277950.215553475,314383.442100823,353513.362446921,391211.690912089,446920.82471929,38432.9368010381,372090.708821568,446936.172273755,522313.366153819,372090.708821568,420890.10371376,472797.328793771,522313.366153819
"296","Lucy's Warbler",1970,2017,"Oreothlypis luciae",1962,"Aridlands","Mexico-Central America","Parulidae","landbird","M","other","native",2829708,1620023,4473592,2006,2015,"PIF0615","BBS7017",727951.275510204,"Lucy's Warbler",296,5,2,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,-1213007.14604669,592747.13789389,-2599339.62986278,-1125371.02196174,-304881.967360794,-2599339.62986278,-1553304.88839932,-783779.48882513,-304881.967360794,1864752.59810251,494059.012131549,925306.829653394,1860481.36763525,2843225.96421515,925306.829653394,1527240.4778127,2194385.27884167,2843225.96421515,2815459.06965979,736645.0673226,1401407.05455025,2814769.81928064,4253938.82761005,1401407.05455025,2317915.80887836,3318091.48278839,4253938.82761005
"297","MacGillivray's Warbler",1970,2017,"Geothlypis tolmiei",1968,"Western Forest","Mexico-Central America","Parulidae","landbird","M","other","native",11191876,9091713,13546236,2006,2015,"PIF0615","BBS7017",1136357.90816327,"MacGillivray's Warbler",297,5,10,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,5853792.04921295,974212.634191582,4038045.11091964,5829564.63509434,7861629.56698257,4038045.11091964,5180348.77085726,6489276.5194961,7861629.56698257,16433521.1665466,1680344.37579493,13180339.1748184,16426162.4928107,19719724.4868328,13180339.1748184,15291885.4415495,17561330.6270713,19719724.4868328,11185478.7537509,1124441.55926837,8988072.66519896,11191057.6521118,13383790.7083337,8988072.66519896,10419802.5388051,11942249.7998919,13383790.7083337
"298","Magnolia Warbler",1970,2017,"Setophaga magnolia",1989,"Boreal Forest","Mexico-Central America","Parulidae","landbird","M","other","native",38757259,33706369,44351863,2006,2015,"PIF0615","BBS7017",2715687.24489796,"Magnolia Warbler",298,5,3,"Parulidae",38,"landbird",1,"M",2,"other",2,"native",2,-9835340.23022974,3264874.80100753,-16738580.7809303,-9639737.56609124,-3962534.51905137,-16738580.7809303,-11945499.5304279,-7577290.71847595,-3962534.51905137,31024164.983086,2280301.10863265,26640767.1781122,31003411.8157888,35474239.1031849,26640767.1781122,29473122.3524036,32575645.1190742,35474239.1031849,38728088.9530375,2727281.72951353,33408850.4679374,38714022.2137433,44084515.2819358,33408850.4679374,36867284.1916775,40572467.4316446,44084515.2819358
"299","Mallard",1970,2017,"Anas platyrhynchos",48,"Wetland","Widespread","Anatidae","waterfowl","M","other","native",11477600,10557400,12397900,2013,2017,"FWS1317","FWS7017",469515.306122449,"Mallard",299,9,11,"Anatidae",6,"waterfowl",5,"M",2,"other",2,"native",2,-2096780.9508277,1061168.08621868,-4256773.9148424,-2064396.67138465,-104221.777218513,-4256773.9148424,-2781444.07214145,-1361073.24960955,-104221.777218513,10263575.4321046,551945.050607508,9219044.38518846,10252130.2812229,11391403.5187124,9219044.38518846,9886592.00575682,10625002.7164641,11391403.5187124,11476354.7682318,470704.719324476,10542397.0073796,11474031.6898884,12398007.8594878,10542397.0073796,11167880.102764,11790592.0643907,12398007.8594878
"300","Marbled Godwit",1970,2017,"Limosa fedoa",481,"Wetland","Coastal","Scolopacidae","shorebird","M","other","native",174000,116000,261000,2011,2013,"Shoreb12","BBS7017",36989.7959183673,"Marbled Godwit",300,2,11,"Scolopacidae",55,"shorebird",3,"M",2,"other",2,"native",2,63852.2166221614,20680.9401601019,27894.8502494834,62309.1896845167,108733.059711279,27894.8502494834,49306.0850477283,76977.6319296526,108733.059711279,236092.930387552,50873.941030103,138038.154603076,234953.431602667,337461.061917866,138038.154603076,201661.83405725,270315.668410406,337461.061917866,174284.130377831,36995.1345694651,102306.532048869,174076.431264962,248251.592985177,102306.532048869,149310.252571188,199105.67709967,248251.592985177
"301","Marbled Murrelet",1970,2017,"Brachyramphus marmoratus",550,"Coasts","Marine","Alcidae","waterbird","M","other","native",545550,256600,834500,1994,1996,"BNA1997","CBC7017",147423.469387755,"Marbled Murrelet",301,4,4,"Alcidae",5,"waterbird",4,"M",2,"other",2,"native",2,36782.2386735112,155412.519628403,-310558.256026697,46879.6710104166,313927.425225835,-310558.256026697,-44676.8528150119,134561.929226725,313927.425225835,590063.932867692,173305.24524353,269113.835427683,582298.948644057,949751.251226166,269113.835427683,470033.39504828,702177.713948417,949751.251226166,545028.791578909,146747.535899707,256813.645577307,545963.447648368,832639.360623206,256813.645577307,444908.948543091,642800.149237128,832639.360623206
"302","Marsh Wren",1970,2017,"Cistothorus palustris",1470,"Wetland","Temperate North America","Troglodytidae","landbird","M","other","native",10846904,8009975,14414465,2006,2015,"PIF0615","BBS7017",1633798.46938776,"Marsh Wren",302,8,11,"Troglodytidae",63,"landbird",1,"M",2,"other",2,"native",2,-7837726.11330131,1769419.34216604,-11692582.8967965,-7701388.36749396,-4720269.89938408,-11692582.8967965,-8925928.37030535,-6588291.67013347,-4720269.89938408,4897225.56536117,748864.461727568,3451607.03359537,4887612.8419683,6386410.44986412,3451607.03359537,4380928.54125926,5398289.67299206,6386410.44986412,10861190.8971869,1629838.73045351,7719425.62068051,10836573.4281796,14081043.107783,7719425.62068051,9739038.1556203,11946244.7644653,14081043.107783
