"","Breeding.Biome","year","med","lci","uci"
"246","Forest Generalist",1975,-14231789.8226848,-70072821.7934666,40997964.4741957
"245","Forest Generalist",1976,-35009083.0089488,-93090898.6942868,23218493.4317015
"256","Forest Generalist",1977,-57052180.0056667,-119342732.792537,2874758.72202661
"267","Forest Generalist",1978,-78152082.7482066,-142441940.857887,-15441768.897228
"278","Forest Generalist",1979,-98895464.0962281,-161512503.61013,-33683201.8084347
"276","Forest Generalist",1980,-117982326.236428,-182368272.956823,-51034458.987249
"247","Forest Generalist",1981,-135427037.881959,-201384273.278488,-68900059.8994446
"258","Forest Generalist",1982,-151997059.825339,-217787359.914255,-86136569.9014161
"269","Forest Generalist",1983,-166573968.175065,-233604300.95756,-98251037.4385503
"280","Forest Generalist",1984,-180884532.029014,-247596046.628142,-113873791.507026
"242","Forest Generalist",1985,-194770526.675315,-260038574.641351,-127788846.581015
"243","Forest Generalist",1986,-207565128.985077,-273396031.484781,-140556639.842736
"241","Forest Generalist",1987,-221224834.988641,-285813267.538512,-153846296.781669
"248","Forest Generalist",1988,-232571534.491561,-298135001.302522,-166084285.439187
"255","Forest Generalist",1989,-245116101.016296,-311120243.403231,-180440072.889723
"266","Forest Generalist",1990,-258034973.192432,-322059483.038188,-192251097.395617
"264","Forest Generalist",1991,-268388503.429649,-332403405.025142,-202472676.575337
"252","Forest Generalist",1992,-280500328.849018,-343898239.283873,-216567078.168163
"259","Forest Generalist",1993,-292031505.25373,-355688347.526907,-228808448.644709
"270","Forest Generalist",1994,-302700149.715548,-365675658.162289,-239075307.008363
"277","Forest Generalist",1995,-314205451.106242,-378338453.382543,-251872897.749845
"265","Forest Generalist",1996,-324803128.747834,-388457891.282339,-263699730.639137
"263","Forest Generalist",1997,-336573959.849361,-398132491.428265,-273530694.309403
"274","Forest Generalist",1998,-347207326.880378,-409964758.036605,-284616890.182276
"281","Forest Generalist",1999,-357133820.135968,-421440494.868728,-295972714.481888
"288","Forest Generalist",2000,-368204215.440329,-429854427.209643,-305674816.523739
"286","Forest Generalist",2001,-377704593.262743,-440960948.56985,-316673707.260384
"287","Forest Generalist",2002,-387133805.987547,-449745127.659149,-328268081.343277
"249","Forest Generalist",2003,-396437085.126906,-459810401.154596,-336331328.174332
"260","Forest Generalist",2004,-405176198.417521,-467508691.212731,-343106632.659357
"271","Forest Generalist",2005,-412393645.705397,-475931419.380085,-351552581.33696
"282","Forest Generalist",2006,-421016948.673799,-483651858.479078,-358603404.279455
"253","Forest Generalist",2007,-427623153.324252,-492424841.807376,-365495858.063538
"251","Forest Generalist",2008,-434511134.000668,-499863500.367629,-371803731.426561
"262","Forest Generalist",2009,-440701760.876886,-505416146.180929,-377488194.559496
